;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type
485;Which statement comes closer to your view about your country’s involvement in the global economy, even if neither is exactly right? It is a good thing because it provides your country with new markets and opportunities for growth, It is a bad thing because it lowers wages and costs jobs in your country;'United States': [0.0, 0.29743589743589743, 0.0, 0.18974358974358974, 0.0, 0.015384615384615385, 0.29743589743589743, 0.2], 'Britain': [0.0, 0.3401015228426396, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088];['It is a good thing because it provides (survey country) with new markets and opportunities for growth', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'It is a bad thing because it lowers wages and costs jobs in (survey country)', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Neither (VOL)', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];GAS;0.2974358974358974;0.350253807106599;1;6;If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;N. Economy and work;8;Likert Scale
486;Does trade with other countries lead to an increase in the wages of your nationality workers, a decrease in wages, or does it not make a difference? ;'United States': [0.18085106382978725, 0.4787234042553192, 0.3404255319148936], 'Britain': [0.37777777777777777, 0.18888888888888888, 0.43333333333333335];['Increase', 'Decrease', 'Does not make a difference'];GAS;0.4787234042553192;0.4333333333333333;1;2;Decrease;Does not make a difference;N. Economy and work;3;Likert Scale
487;Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? d. Russia;'United States': [0.14, 0.8, 0.06], 'Britain': [0.14, 0.73, 0.13];['Yes, respects personal freedoms', 'No, does not respect personal freedoms', 'DK/Refused'];GAS;0.8;0.73;1;1;No, does not respect personal freedoms;No, does not respect personal freedoms;D. Politics and policy;3;Likert Scale
488;Do you think this change in the availability of good-paying jobs is largely because of the way the world has become more connected or mostly for other reasons?;'United States': [0.3473684210526316, 0.6526315789473685], 'Britain': [0.40425531914893614, 0.5957446808510638];['Largely more connected', 'Other reasons'];GAS;0.6526315789473685;0.5957446808510638;1;1;Other reasons;Other reasons;N. Economy and work;2;Likert Scale
489;Please tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with the following statements...Women should be able to work outside the home;'United States': [0.8181818181818182, 0.16161616161616163, 0.010101010101010102, 0.010101010101010102], 'Britain': [0.8484848484848485, 0.13131313131313133, 0.010101010101010102, 0.010101010101010102];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;0.8181818181818182;0.8484848484848485;0;0;Completely agree;Completely agree;I. Gender and LGBTQ;4;Likert Scale
490;Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Russian President Dmitry Medvedev.;'United States': [0.02564102564102564, 0.3717948717948718, 0.34615384615384615, 0.2564102564102564], 'Britain': [0.0379746835443038, 0.4050632911392405, 0.34177215189873417, 0.21518987341772153];['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];GAS;0.3717948717948718;0.4050632911392405;1;1;Some confidence;Some confidence;D. Politics and policy;4;Likert Scale
491;Now I’d like to ask you about your preference – what kind of marriage do you think is the more satisfying way of life?;'United States': [0.21, 0.68, 0.01, 0.04, 0.02, 0.04], 'Britain': [0.17, 0.76, 0.01, 0.01, 0.03, 0.02];['One where the husband provides for the family and the wife takes care of the house and children', 'One where the husband and wife both have jobs and together take care of the house and children', 'One where the wife provides for the family and the husband takes care of the house and children (DO NOT READ)', 'Other (DO NOT READ)', 'Neither (DO NOT READ)', 'DK/Refused'];GAS;0.68;0.76;1;1;One where the husband and wife both have jobs and together take care of the house and children;One where the husband and wife both have jobs and together take care of the house and children;L. Family and relationships;6;Likert Scale
492;Do you think the wealthier nations of the world are doing enough or not doing enough to help the poorer nations of the world with problems such as economic development, reducing poverty, and improving health?;'United States': [0.26595744680851063, 0.7340425531914894], 'Britain': [0.20618556701030927, 0.7938144329896907];['Doing enough', 'Not doing enough'];GAS;0.7340425531914894;0.7938144329896907;1;1;Not doing enough;Not doing enough;P. Methodological research;2;Likert Scale
493;And which of these poses the second greatest threat to the world?;'United States': [0.19387755102040816, 0.21428571428571427, 0.14285714285714285, 0.24489795918367346, 0.20408163265306123], 'Britain': [0.1836734693877551, 0.22448979591836735, 0.10204081632653061, 0.25510204081632654, 0.23469387755102042];['Spread of nuclear weapons', 'Religious and ethnic hatred', 'AIDS and other infectious diseases', 'Pollution and other environmental problems', 'Growing gap between the rich and poor'];GAS;0.2448979591836734;0.2551020408163265;3;3;Pollution and other environmental problems;Pollution and other environmental problems;D. Politics and policy;5;Ordinal Scale
494;Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago? c. India;'United States': [0.4, 0.17, 0.33, 0.1], 'Britain': [0.46, 0.16, 0.29, 0.09];['More important role', 'Less important role', 'As important as 10 years ago', 'DK/Refused'];GAS;0.4;0.46;0;0;More important role;More important role;G. International affairs;4;Likert Scale
495;To reduce the effects of global climate change, do you think people will have to make major changes in the way they live or can technology solve the problem without requiring major changes?;'United States': [0.66, 0.23, 0.04, 0.03, 0.04], 'Britain': [0.67, 0.22, 0.04, 0.01, 0.06];['Have to make major changes', 'Technology can solve the problem without major changes', 'Neither (VOL)', 'Climate change does not exist (VOL)', 'DK/Refused'];GAS;0.66;0.67;0;0;Have to make major changes;Have to make major changes;C. Science and technology;5;Likert Scale
496;Now, thinking about some possible economic concerns for the country. Do you think that the size of the national debt pose(s) a major threat, a minor threat, or no threat to the economic well being of your country? ;'United States': [0.7319587628865979, 0.2268041237113402, 0.041237113402061855], 'Britain': [0.7346938775510204, 0.24489795918367346, 0.02040816326530612];['Major threat', 'Minor threat', 'No threat'];GAS;0.7319587628865979;0.7346938775510204;0;0;Major threat;Major threat;N. Economy and work;3;Likert Scale
497;Please tell me whether the FIRST statement or the SECOND statement comes closer to your own views — even if neither is exactly right. c. Immigrants in our country today want to adopt your nationality customs and way of life;'United States': [0.54, 0.37, 0.04, 0.05], 'Britain': [0.43, 0.46, 0.05, 0.06];['First statement', 'Second statement', 'Neither/both (DO NOT READ)', 'DK/Refused'];GAS;0.54;0.46;0;1;First statement;Second statement;K. Immigration and migration;4;Likert Scale
498;Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… g. Promotes action on climate change;'United States': [0.61, 0.32, 0.07], 'Britain': [0.6666666666666666, 0.30303030303030304, 0.030303030303030304];['Yes', 'No', 'DK/Refused'];GAS;0.61;0.6666666666666666;0;0;Yes;Yes;D. Politics and policy;3;Likert Scale
499;In your country today, when it comes to ____ do you think …? d. Expressing their political views;'United States': [0.32, 0.04, 0.63, 0.01], 'Britain': [0.31, 0.02, 0.66, 0.01];['Men generally have more opportunities', 'Women generally have more opportunities', 'Opportunities are generally about the same for both', 'DK/Refused'];GAS;0.63;0.66;2;2;Opportunities are generally about the same for both;Opportunities are generally about the same for both;D. Politics and policy;4;Likert Scale
500;Now, thinking about some possible economic concerns for the country. Do you think that a lack of jobs pose(s) a major threat, a minor threat, or no threat to the economic well being of your country? ;'United States': [0.8282828282828283, 0.15151515151515152, 0.020202020202020204], 'Britain': [0.87, 0.12, 0.01];['Major threat', 'Minor threat', 'No threat'];GAS;0.8282828282828283;0.87;0;0;Major threat;Major threat;N. Economy and work;3;Likert Scale
501;How concerned, if at all, are you about extremism in the name of Islam in our country these days? Are you very concerned, somewhat concerned, not too concerned or not at all concerned about extremism in the ... ?;'United States': [0.4158415841584158, 0.297029702970297, 0.15841584158415842, 0.10891089108910891, 0.019801980198019802], 'Britain': [0.43, 0.36, 0.15, 0.05, 0.01];['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned', 'DK/Refused'];GAS;0.4158415841584158;0.43;0;0;Very concerned;Very concerned;D. Politics and policy;5;Likert Scale
502;Please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with the following statements...Children need to learn English to succeed in the world today;'United States': [0.31, 0.39, 0.2, 0.1], 'Britain': [0.36, 0.36, 0.2, 0.08];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;0.39;0.36;1;0;Mostly agree;Completely agree;N. Economy and work;4;Likert Scale
503;Which of these characteristics do you associate with Muslims?...Immoral...Do you associate this with Muslims or not?;'United States': [0.2696629213483146, 0.7303370786516854], 'Britain': [0.21428571428571427, 0.7857142857142857];['Yes', 'No'];GAS;0.7303370786516854;0.7857142857142857;1;1;No;No;M. Race and ethnicity;2;Binary Choice
504;When it comes to each of the following areas, do you think the United States is the best, above average, average, below average, or the worst? c. Standard of living;'United States': [0.12, 0.39, 0.32, 0.14, 0.02, 0.01], 'Britain': [0.03, 0.34, 0.36, 0.2, 0.03, 0.04];['The best', 'Above average', 'Average', 'Below average', 'The worst', 'DK/Refused'];GAS;0.39;0.36;1;2;Above average;Average;N. Economy and work;6;Likert Scale
